State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.9632000464750782	0.009586135510307629	0.005460290804700277	0.0	1.1610488305454958E-8	0.001474891655454721	4.9746165217501416E-6	0.019723779372424508	0.0	5.498699550246221E-4
2	0.03381404341580816	0.8997993728995834	0.04688172943918888	0.011350375235247295	0.00552763375840849	0.00239548351775198	0.0	0.0	0.0	2.3136173401170016E-4
3	0.010390030602252527	0.02511393372511949	0.9212122462281952	0.021549198533659508	0.0026597817270183123	0.011811977105654358	8.008798730085552E-4	0.005781075127187771	0.0	6.808770779042785E-4
4	0.0	0.009785851556140642	0.03483173399542715	0.9173935919495095	0.03638726093193079	0.0016015615669919153	0.0	0.0	0.0	0.0
5	6.132124297612108E-5	0.010181253979360923	0.00938975163054383	0.08528016706775372	0.8251968075526905	0.013255820005813887	0.05663487852086099	0.0	0.0	0.0
6	0.0030174264082411194	0.0011964049912985776	0.012677505463260887	0.0012145787666692166	0.003744314619223869	0.7333318741357996	0.08558711520855576	0.15238244439277626	0.004505282304704563	0.0023430537094703105
7	3.761108578397834E-5	0.0	0.0014621477221017504	0.0	0.028864303433693183	0.1427754901127578	0.8089384594982283	0.01448862666693959	0.0016795528779689395	0.0017538086025264295
8	0.0038235948436706234	0.0	6.002300897382256E-4	0.0	0.0	0.01533304359534633	8.69928275640199E-4	0.9753081738143515	0.00298578484781856	0.0010792445334345808
9	0.0	0.0	0.0	0.0	0.0	1.961485685555253E-4	4.17747171829328E-5	0.001365427523576323	0.9963771634454407	0.0020194857452442583
10	0.0014739305152274493	1.2302980171269724E-4	0.001005718701557875	0.0	5.30915737880075E-6	0.003301433512150101	0.0014927848192649866	0.016198786712561173	0.06388165855494816	0.9125173482251989
